# BinPerfLog  frames=20  splats/frame=202755  initLoadMs=291.14  initBuildMs=295.17
timestamp_s,draw_call,frame_index,sort_ms,render_encode_ms,scene_draw_ms,full_draw_ms
5.0925,124,2,25.553,0.067,0.368,0.422
5.1092,125,2,25.553,0.053,0.302,0.514
5.1259,126,3,21.340,0.068,0.381,0.422
5.1426,127,3,21.340,0.065,0.386,0.658
5.1593,128,4,19.712,0.093,0.525,0.590
5.1758,129,4,19.712,0.092,0.522,0.902
5.1925,130,5,17.029,0.087,0.525,0.582
5.2092,131,5,17.029,0.083,0.510,0.889
5.2258,132,6,17.160,0.088,0.509,0.562
5.2425,133,6,17.160,0.112,0.675,1.193
5.2606,134,7,17.014,0.120,0.685,0.764
5.2924,135,7,17.014,0.101,0.581,0.978
5.3092,136,8,16.786,0.123,0.689,0.759
5.3258,137,8,16.786,0.111,0.652,1.149
5.3426,138,9,14.624,0.118,0.689,0.764
5.3592,139,9,14.624,0.111,0.670,1.209
5.3771,140,10,16.129,0.109,0.653,0.724
5.3932,141,10,16.129,0.141,0.697,1.212
5.4096,142,11,17.834,0.116,0.639,0.715
5.4263,143,11,17.834,0.113,0.635,1.117
5.4430,144,12,17.126,0.111,0.613,0.681
5.4596,145,12,17.126,0.104,0.621,1.144
5.4931,146,13,16.701,0.125,0.690,0.768
5.5097,147,13,16.701,0.111,0.633,1.165
5.5264,148,14,16.986,0.118,0.638,0.709
5.5430,149,14,16.986,0.103,0.599,1.137
5.5763,150,15,17.324,0.113,0.652,0.728
5.5929,151,15,17.324,0.108,0.632,1.307
5.6095,152,16,17.445,0.116,0.660,0.730
5.6429,153,16,17.445,0.115,0.640,1.176
5.6596,154,17,18.006,0.108,0.613,0.686
5.6763,155,17,18.006,0.106,0.629,1.145
5.6929,156,18,18.530,0.122,0.662,0.732
5.7262,157,18,18.530,0.103,0.644,1.157
5.7429,158,19,20.311,0.108,0.619,0.670
5.7594,159,19,20.311,0.082,0.532,0.903
5.8092,160,0,40.021,0.090,40.724,40.799
5.8534,161,0,40.021,0.034,0.197,0.349
5.8758,162,1,23.138,0.032,23.381,23.400
5.9006,163,1,23.138,0.021,0.148,0.257
5.9593,164,2,22.038,0.033,22.408,22.429
6.0092,165,2,22.038,0.026,0.180,0.329
6.0426,166,3,24.607,0.033,25.021,25.043
6.0926,167,3,24.607,0.069,0.377,0.602
6.1270,168,4,57.356,0.036,57.726,57.750
6.1867,169,4,57.356,0.026,0.197,0.358
6.2426,170,5,24.591,0.030,24.986,25.005
6.2693,171,5,24.591,0.025,0.182,0.334
6.3426,172,6,29.112,0.090,29.837,29.897
6.3925,173,6,29.112,0.056,0.348,0.608
6.4426,174,7,41.943,0.090,42.615,42.672
6.4931,175,7,41.943,0.046,0.290,0.488
6.5437,176,8,41.081,0.032,41.553,41.573
6.5871,177,8,41.081,0.024,0.208,0.357
6.6101,178,9,22.850,0.037,23.212,23.234
6.6349,179,9,22.850,0.023,0.159,0.278
6.6593,180,10,22.149,0.034,22.311,22.335
6.6829,181,10,22.149,0.018,0.130,0.235
6.7092,182,11,21.483,0.036,21.644,21.666
6.7321,183,11,21.483,0.019,0.131,0.228
6.7593,184,12,18.852,0.027,18.975,18.989
6.7806,185,12,18.852,0.016,0.110,0.193
6.8258,186,13,19.902,0.028,20.043,20.059
6.8469,187,13,19.902,0.015,0.112,0.198
6.8926,188,14,21.355,0.033,21.510,21.528
6.9151,189,14,21.355,0.016,0.115,0.207
6.9593,190,15,20.883,0.027,21.058,21.075
6.9817,191,15,20.883,0.019,0.119,0.211
7.0260,192,16,20.024,0.029,20.184,20.201
7.0476,193,16,20.024,0.018,0.129,0.229
7.0926,194,17,21.226,0.029,21.384,21.403
7.1154,195,17,21.226,0.019,0.128,0.228
7.1594,196,18,22.891,0.027,23.052,23.071
7.1838,197,18,22.891,0.018,0.127,0.229
7.2260,198,19,20.037,0.026,20.192,20.210
7.2476,199,19,20.037,0.021,0.131,0.233
7.2760,200,0,40.021,0.020,0.136,0.149
7.3099,201,0,40.021,0.027,0.184,0.341
7.3260,202,1,23.138,0.070,0.405,0.465
7.3427,203,1,23.138,0.053,0.323,0.532
7.3593,204,2,22.038,0.067,0.392,0.433
7.3760,205,2,22.038,0.068,0.371,0.636
7.3927,206,3,24.607,0.106,0.547,0.611
7.4094,207,3,24.607,0.096,0.558,0.931
7.4260,208,4,57.356,0.090,0.535,0.599
7.4427,209,4,57.356,0.093,0.565,0.958
7.4599,210,5,24.591,0.103,0.566,0.626
7.4759,211,5,24.591,0.095,0.590,0.987
7.4939,212,6,29.112,0.105,0.575,0.639
7.5260,213,6,29.112,0.106,0.588,1.006
7.5427,214,7,41.943,0.093,0.546,0.609
7.5761,215,7,41.943,0.114,0.574,0.963
7.5820,216,8,41.081,0.096,0.513,0.574
7.6099,217,8,41.081,0.114,0.695,1.213
7.6432,218,9,22.850,0.129,0.708,0.787
7.6927,219,9,22.850,0.127,0.738,1.281
7.7262,220,10,22.149,0.123,0.706,0.786
7.7594,221,10,22.149,0.155,0.794,1.335
7.7774,222,11,21.483,0.134,0.708,0.771
7.7931,223,11,21.483,0.110,0.550,0.929
7.8596,224,12,18.852,0.139,0.763,0.858
7.9096,225,12,18.852,0.125,0.668,1.184
7.9430,226,13,19.902,0.120,0.696,0.775
7.9763,227,13,19.902,0.119,0.719,1.250
7.9829,228,14,21.355,0.104,0.631,0.694
8.0100,229,14,21.355,0.122,0.699,1.351
8.0601,230,15,20.883,0.134,0.685,0.760
8.1263,231,15,20.883,0.129,0.726,1.264
8.1597,232,16,20.024,0.132,0.717,0.795
8.1942,233,16,20.024,0.121,0.791,1.341
8.2102,234,17,21.226,0.113,0.659,0.735
8.2435,235,17,21.226,0.122,0.712,1.228
8.2768,236,18,22.891,0.093,0.540,0.598
8.3268,237,18,22.891,0.089,0.514,0.912
8.3604,238,19,20.037,0.120,0.691,0.763
8.4100,239,19,20.037,0.059,0.332,0.540
8.4437,240,0,60.123,0.103,60.770,60.843
8.5074,241,0,60.123,0.045,0.261,0.431
8.5268,242,1,23.890,0.041,24.201,24.220
8.5603,243,1,23.890,0.023,0.183,0.314
8.6266,244,2,32.928,0.037,33.340,33.370
8.6621,245,2,32.928,0.028,0.195,0.346
8.7099,246,3,24.413,0.046,24.858,24.883
8.7364,247,3,24.413,0.024,0.169,0.294
8.7765,248,4,24.354,0.041,24.707,24.728
8.8098,249,4,24.354,0.022,0.155,0.279
8.8432,250,5,38.260,0.047,38.576,38.598
8.8835,251,5,38.260,0.023,0.182,0.311
8.9265,252,6,25.085,0.038,25.446,25.468
8.9537,253,6,25.085,0.026,0.184,0.321
8.9931,254,7,24.443,0.028,24.628,24.646
9.0192,255,7,24.443,0.021,0.150,0.264
9.0598,256,8,24.120,0.025,24.303,24.319
9.0930,257,8,24.120,0.021,0.137,0.248
9.1263,258,9,29.148,0.026,29.308,29.324
9.1597,259,9,29.148,0.018,0.124,0.226
9.1930,260,10,20.612,0.026,20.767,20.784
9.2263,261,10,20.612,0.022,0.141,0.258
9.2442,262,11,19.968,0.021,20.107,20.121
9.2930,263,11,19.968,0.020,0.137,0.248
9.3264,264,12,22.314,0.022,22.504,22.519
9.3502,265,12,22.314,0.020,0.145,0.249
9.3775,266,13,20.416,0.023,20.571,20.586
9.4101,267,13,20.416,0.019,0.146,0.256
9.4764,268,14,33.721,0.040,34.033,34.060
9.5122,269,14,33.721,0.023,0.171,0.297
9.5598,270,15,22.672,0.033,23.009,23.029
9.5931,271,15,22.672,0.028,0.189,0.343
9.6264,272,16,34.982,0.042,35.276,35.300
9.6765,273,16,34.982,0.060,0.293,0.501
9.7098,274,17,38.956,0.030,39.280,39.300
9.7505,275,17,38.956,0.025,0.198,0.348
9.7776,276,18,21.767,0.031,22.103,22.121
9.8011,277,18,21.767,0.023,0.182,0.316
9.8764,278,19,29.520,0.037,30.000,30.019
9.9101,279,19,29.520,0.029,0.195,0.355
9.9598,280,0,60.123,0.092,0.459,0.517
9.9933,281,0,60.123,0.127,0.711,1.232
10.0263,282,1,23.890,0.062,0.301,0.343
10.0598,283,1,23.890,0.124,0.707,1.213
10.0765,284,2,32.928,0.121,0.671,0.755
10.0942,285,2,32.928,0.127,0.717,1.479
10.1263,286,3,24.413,0.138,0.786,0.873
10.1597,287,3,24.413,0.105,0.565,0.950
10.1653,288,4,24.354,0.085,0.485,0.539
10.1934,289,4,24.354,0.096,0.517,0.905
10.2269,290,5,38.260,0.118,0.692,0.770
10.2931,291,5,38.260,0.120,0.675,1.192
10.3261,292,6,25.085,0.049,0.242,0.268
10.3597,293,6,25.085,0.118,0.665,1.189
10.3777,294,7,24.443,0.109,0.626,0.699
10.3935,295,7,24.443,0.111,0.637,1.155
10.4269,296,8,24.120,0.119,0.646,0.721
10.4769,297,8,24.120,0.114,0.637,1.225
10.5102,298,9,29.148,0.114,0.641,0.715
10.5435,299,9,29.148,0.113,0.632,1.180
10.5768,300,10,20.612,0.113,0.627,0.701
10.6101,301,10,20.612,0.108,0.608,1.134
10.6435,302,11,19.968,0.122,0.640,0.712
10.6935,303,11,19.968,0.121,0.681,1.216
10.7268,304,12,22.314,0.125,0.668,0.750
10.7603,305,12,22.314,0.119,0.680,1.194
10.7935,306,13,20.416,0.123,0.661,0.743
10.8268,307,13,20.416,0.116,0.647,1.183
10.8601,308,14,33.721,0.122,0.659,0.715
10.8934,309,14,33.721,0.109,0.641,1.128
10.9761,310,15,22.672,0.063,0.322,0.365
11.0097,311,15,22.672,0.133,0.712,1.239
11.0428,312,16,34.982,0.070,0.349,0.388
11.0762,313,16,34.982,0.100,0.550,0.956
11.1094,314,17,38.956,0.071,0.386,0.427
11.1430,315,17,38.956,0.125,0.701,1.209
11.1931,316,18,21.767,0.126,0.713,0.788
11.2263,317,18,21.767,0.119,0.658,1.170
11.2597,318,19,29.520,0.074,0.565,0.596
11.2930,319,19,29.520,0.127,0.684,1.246
11.3263,320,0,31.870,0.104,32.480,32.553
11.3613,321,0,31.870,0.047,0.240,0.402
11.3929,322,1,24.866,0.043,25.078,25.104
11.4262,323,1,24.866,0.021,0.136,0.234
11.4595,324,2,21.016,0.031,21.162,21.181
11.4927,325,2,21.016,0.018,0.118,0.209
